Site_Number,Location_Description,Site_Type
850,CANTERBURY NR ANDREW,POS
4910,CANTERBURY NR ARMSTRONG,POS
861,CANTERBURY NR BALFOUR,POS
2011,CANTERBURY NR BALMORAL,POS
841,CANTERBURY NR BRANKSOME,POS
847,CANTERBURY NR BRENTFORD,POS
3124,CANTERBURY NR CHAUCER,POS
3137,CANTERBURY NR CLYDESDALE,POS
110,CANTERBURY NR CRESTVIEW,AMBU SIG
4841,CANTERBURY NR FRASER,POS
3133,CANTERBURY NR GIBSON,POS
999,CANTERBURY NR GREEN HILL,POS
858,CANTERBURY NR HEATHWOOD (ARMSTRONG),POS
3129,CANTERBURY NR KENNEALY,POS
3121,CANTERBURY NR LOCH,POS
3123,CANTERBURY NR MANGARRA,POS
4830,CANTERBURY NR MARY,POS
842,CANTERBURY NR ORCHARD,POS
3128,CANTERBURY NR ROCHESTER,POS
4924,CANTERBURY NR WRIGHT,POS
971,CANTERBURY RD/GREAT RYRIE STREET,INT
3127,CANTERBURY/BALWYN,INT
139,CANTERBURY/BAYFIELD,INT
860,CANTERBURY/BAYSWATER,INT
857,CANTERBURY/BEDFORD/ARINGA,INT
844,CANTERBURY/BLACKBURN,INT
158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT
893,CANTERBURY/CADBURY SCHWEPPES ENTRANCE,INT
863,CANTERBURY/COLCHESTER,INT
3130,CANTERBURY/ELGAR,INT
4831,CANTERBURY/FITZROY/GREY,INT
859,CANTERBURY/GATWICK,INT
845,CANTERBURY/GLEBE,INT
851,CANTERBURY/HEATHERDALE,INT
855,CANTERBURY/HEATHMONT,INT
4909,CANTERBURY/KERFERD/ALBERT/FERRARS,INT
864,CANTERBURY/LIVERPOOL,INT
846,CANTERBURY/MAHONEYS,INT
3132,CANTERBURY/MIDDLEBOROUGH,INT
4918,CANTERBURY/MILLS,INT
849,CANTERBURY/MITCHAM/BORONIA,INT
146,CANTERBURY/MT DANDENONG,INT
843,CANTERBURY/PACIFIC WAY,INT
3085,CANTERBURY/RAMSAY,INT
865,CANTERBURY/ROOKS,INT
3122,CANTERBURY/STANHOPE,INT
3131,CANTERBURY/STATION,INT
848,CANTERBURY/STEVENS,INT
3138,CANTERBURY/SURREY DVE,INT
871,CANTERBURY/TERRARA,INT
3125,CANTERBURY/UNION,INT
853,CANTERBURY/WANTIRNA,INT
3126,CANTERBURY/WARRIGAL,INT
6825,CAPE NELSON/MUST,INT
477,CAPITAL NR WESTLANDS,POS
1211,CARDINIA/HENRY/RIX,INT
4858,CARLISLE NR ACLAND,POS
2297,CARLISLE NR ST KILDA (LIBRARY),POS
4852,CARLISLE NR WOODSTOCK,POS
4837,CARLISLE/WESTBURY,INT
1172,CAROLINE SPRING BTW BRIDGEWATER/WENDOURE,POS
2591,CAROLINE SPRINGS/COLLEGE,INT
2680,CAROLINE SPRINGS/COMMERCIAL,INT
2593,CAROLINE SPRINGS/LAKE,INT
5174,CARTWRIGHT NR KELLIHER,FLASH PX
3179,C'BOURNE-NARRE WARREN BTW LYALL & STAWEL,POS
3168,C'BOURNE-NARRE WARREN/CAMMS/ROCHESTER,INT
4904,CECIL/PARK,INT
4382,CEMETERY/COLLEGE,INT
4380,CEMETERY/LYGON/PRINCES,INT
3476,CENTRAL NR KIORA,POS
3140,CENTRE DANDENONG NR COOLAC,POS
949,CENTRE DANDENONG NR HARLEY,POS
2345,CENTRE DANDENONG NR NEPEAN,POS
3204,CENTRE DANDENONG/BOUNDARY,INT
3145,CENTRE DANDENONG/CHIFLEY DVE,INT
3145,CENTRE DANDENONG/CHIFLEY DVE,INT
3139,CENTRE DANDENONG/DFO ACCESS RD,INT
3141,CENTRE DANDENONG/GRANGE,INT
3143,CENTRE DANDENONG/HOWARD,INT
3142,CENTRE DANDENONG/MARCUS,INT
4697,CENTRE NR AUDSLEY,POS
4614,CENTRE NR BIGNELL,POS
4692,CENTRE NR CAMERON,POS
4639,CENTRE NR CHESTER,POS
3443,CENTRE NR GILBERT,POS
4631,CENTRE NR GODFREY,POS
4699,CENTRE NR KIONGA,POS
4612,CENTRE NR LILAC,POS
2347,CENTRE NR LORANNE,POS
4695,CENTRE NR MELALEUCA,POS
4693,CENTRE NR WINDSOR,POS
4655,CENTRE/BRADY,INT
3144,CENTRE/BUCKLAND,INT
4694,CENTRE/CLARINDA/HUNTINGDALE,INT
3198,CENTRE/CLAYTON,INT
2961,CENTRE/COOKE,INT
4613,CENTRE/EAST BOUNDARY,INT
3199,CENTRE/ESKAY,INT
3960,CENTRE/HAMPTON,INT
4698,CENTRE/HAUGHTON/CARINISH,INT
4698,CENTRE/HAUGHTON/CARINISH,INT
3441,CENTRE/JASPER,INT
3189,CENTRE/KNIGHT,INT
4615,CENTRE/MACKIE,INT
4700,CENTRE/MCNAUGHTON/KOMBI,INT
2349,CENTRE/MONASH MEDICAL CENTRE,INT
2960,CENTRE/SPRINGS,INT
3959,CENTRE/THOMAS,INT
4610,CENTRE/TUCKER,INT
3694,CENTRE/WARRIGAL,INT
3847,CHADSTONE NR ABBOTSFORD,POS
2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS
2483,CHADSTONE SHOPPING CENTRE WEST MALL,INT
3851,CHADSTONE/EXIT CHAD SHOPS,INT
2824,CHANDLER HWY NR YARRA BLVD,POS
2823,CHANDLER HWY/EAST FWY E OFF,INT
2822,CHANDLER HWY/EAST FWY E ON,INT
2821,CHANDLER HWY/EAST FWY WB,INT
2820,CHANDLER HWY/PRINCESS ST,INT
1375,CHANDLER NR GENISTA,FLASH PX
644,CHANDLER NR ISAAC,POS
877,CHANDLER ROAD / KMART,FLASH PX
954,CHANDLER/DOUGLAS/RAILWAY,INT
954,CHANDLER/DOUGLAS/RAILWAY,INT
6199,CHAPEL (MCIVOR HWY)/HARGREAVES,INT
4773,CHAPEL NR KING,POS
4738,CHAPEL NR MADDOCK,POS
4774,CHAPEL NR UNION,POS
4740,CHAPEL/ALEXANDRA/CHURCH,INT
4845,CHAPEL/ALMA,INT
4851,CHAPEL/CARLISLE,INT
4772,CHAPEL/CHATHAM/PRINCES,INT
4737,CHAPEL/DALY,INT
4770,CHAPEL/GARDEN (*** USE 4771 ***),INT
4848,CHAPEL/INKERMAN,INT
3654,CHAPEL/MALCOLM,INT
3917,CHAPEL/PALERMO,INT
4771,CHAPEL/WILSON/GARDEN,INT
1191,CHARLES GRIMES BRIDGE OFF RAMP,INT
2521,CHARLES ST NR VICTORIA ST,FLASH PX
6204,CHARLESTON/NOLAN,INT
4627,CHARMAN NR GLEBE,POS
2348,CHARMAN NR STATION,POS
4626,CHARMAN/PARK,INT
1019,CHELTENHAM/ALLAN,INT
668,CHELTENHAM/BENNET,INT
3146,CHELTENHAM/BUNNINGS ACCESS RD,INT
979,CHELTENHAM/CAMBRIA,INT
670,CHELTENHAM/CHANDLER,INT
923,CHELTENHAM/CORRIGAN,INT
269,CHELTENHAM/DINGLEY/SINCLAIR,INT
3150,CHELTENHAM/FIVEWAYS/LAKE VIEW,INT
650,CHELTENHAM/FOSTER/THOMAS,INT
651,CHELTENHAM/HAMMOND,INT
564,CHELTENHAM/KENEALLY,INT
924,CHELTENHAM/KINGSCLERE,INT
963,CHELTENHAM/PARKMORE SHOP CENTRE,INT
5289,CHERRY NR WATTON,POS
5260,CHERRY/RAILWAY,INT
3045,CHESTER nr EATON,POS
4637,CHESTERVILLE NR RADCLIFFE,POS
4625,CHESTERVILLE/ARGUS/TENNYSON,INT
4624,CHESTERVILLE/BERNARD,INT
4635,CHESTERVILLE/COCHRANES,INT
4617,CHESTERVILLE/WICKHAM/KEYS,INT
2776,CHILDS NR BEAUMONT,POS
2777,CHILDS NR SUPPLY,FIRE W/W
2809,CHILDS RD/BETULA AVE,INT
2808,CHILDS RD/PRINCE OF WALES AVE,INT
2779,CHILDS/REDLEAP,INT
2772,CHILDS/STABLES SHOPPING CENTRE,INT
5220,CHURCH NR BAYVIEW,POS
4829,CHURCH NR BROUGHAM,POS
4828,CHURCH NR CAMERON,POS
3548,CHURCH NR CARPENTER,FLASH PX
4152,CHURCH NR GIBBONS,POS
4282,CHURCH NR GROVE,POS
3864,CHURCH NR HOWARD                     VM9,POS
3547,CHURCH NR ST ANDREWS,FLASH PX
3860,CHURCH/BALMAIN/COTTER,INT
4824,CHURCH/ELIZABETH/BAKER,INT
4826,CHURCH/HIGHETT,INT
5080,CHURCH/MINERVA,INT
4808,CHURCH/SWAN,INT
5152,CHURCH/VINES,INT
5226,CHURCH/WEDDELL,INT
3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS
2620,CHURCHILL NR DOBSON,POS
3348,CHUTE NR INGLES,POS
1401,CITY LINK/GIBDON ENTRY,RAMP MTR
4159,CITY NR FANNING,POS
4884,CITY/CECIL/BALLANTINE,INT
4883,CITY/CLARENDON,INT
4885,CITY/FERRARS/MARKET,INT
4886,CITY/MONTAGUE/YORK,INT
4882,CITY/MORAY/QUEENSBRIDGE,INT
4881,CITY/POWER,INT
4920,CITY/SOUTH GATE AVE,INT
4880,CITY/SOUTHBANK BLVD,INT
4880,CITY/SOUTHBANK BLVD,INT
1403,CITYLINK/YARRA BVD EAST BD ENTRY,RAMP MTR
4719,CLARENDON NR HUNTINGDALE,FLASH PX
4726,CLARENDON NR MELBOURNE EXHIBITION CENTRE,POS
4891,CLARENDON/BALLANTYNE,INT
3536,CLARENDON/COVENTRY,INT
4916,CLARENDON/DORCAS,INT
4661,CLARENDON/HIGH/NORMANBY,INT
4905,CLARENDON/PARK,INT
4878,CLARENDON/WHITEMAN/NORMANBY,INT
4892,CLARENDON/YORK,INT
4674,CLARKE NR OXFORD,POS
3774,CLAYTON BTW BAYVIEW & STEWART,POS
3207,CLAYTON NR BRENTWOOD,POS
3205,CLAYTON NR COLONEL,POS
3197,CLAYTON NR DUNSTAN,POS
2344,CLAYTON NR SYLVANDER (FIRE STN),FIRE W/W
3191,CLAYTON/DUNSTAN,INT
3200,CLAYTON/FAIRBANK,INT
3206,CLAYTON/HAUGHTON/CARINISH,INT
3208,CLAYTON/MONASH MEDICAL CENTRE,INT
3570,CLAYTON/NORTH,INT
3209,CLAYTON/RYANS,INT
955,CLEELAND NR KING,POS
5123,CLIFTON SPRINGS/HANCOCK,INT
6047,CLIFTON/ANDERSON,INT
6047,CLIFTON/ANDERSON,INT
642,CLOW NR ARATULA,POS
960,CLOW NR CLEELAND,POS
952,CLOW NR STUART,POS
669,CLOW/WALKER,INT
502,CLYDE RD NR CENTRE RD,POS
556,CLYDE/CRESTHAVEN,INT
3178,CLYDE/ENTERPRISE,INT
508,CLYDE/GREAVES/O'SHEA,INT
537,CLYDE/MOONDARRA/MEADOWLANDS,INT
2546,COBURNS RD BTW PERRY AND CARINA,POS
2646,COBURNS/BARRIES,INT
2661,COBURNS/RICHARD,INT
2654,COBURNS/SHOP CENTRE ACCESS,INT
4982,COBURNS/WESTERN FWY (NTH),INT
4983,COBURNS/WESTERN FWY (STH),INT
1252,COLBY NR BELGRAVE-HALLAM,FLASH PX
890,COLCHESTER NR COLLIER,POS
461,COLEMAN NR FIANDER,POS
1158,COLEMANS/PRODUCE,INT
1062,COLLEGE NR CEMETERY,FLASH PX
3460,COLLINS BTW SPENCER & KING,FLASH PX
4579,COLLINS NR ELIZABETH,POS
1188,COLLINS NR KARLSRUHE LA (FMRL GEOGRAPHE),POS
1075,COLLINS NR SPENCER ST STATION,POS
1074,COLLINS NR STADIUM DR,POS
4576,COLLINS/EXHIBITION,INT
1141,COLLINS/HARBOUR,INT
4582,COLLINS/MARKET,INT
1142,COLLINS/NAVIGATION DR,INT
4544,COMMERCIAL NR ALFRED HOSP,POS
6809,COMMERCIAL NR HIGH,FLASH PX
6658,COMMERCIAL NR TARWIN,POS
4751,COMMERCIAL NR TYRONE,POS
2983,COMMERCIAL/BALMORAL,INT
6663,COMMERCIAL/HAZELWOOD,INT
4537,COMMERCIAL/IZETT,INT
2571,COMMERCIAL/LAKE,INT
3717,COMO PDE WEST NR BIRDWOOD,FLASH PX
4643,COMO PDE WEST NR MENTONE PDE,POS
6291,CONDON/RESERVOIR,INT
2695,COOPER BTW DAVISSON/HOWARD,POS
1311,COOPER ST/ DAVISSON ST,INT
1310,COOPER ST/DALTON RD,INT
2814,COOPER/EDGARS,INT
2813,COOPER/FREIGHT/REX,INT
2812,COOPER/GATEWAY BLVD,INT
2838,COOPER/METROLINK CIRCUIT,INT
2787,COOPER/MILLER/EPPING PLAZA SHOP C ACC 4,INT
3238,COOPER/NORTHERN HOSPITAL ENTRANCE,INT
2818,COOPER/SCANLON,INT
2811,COOPER/TIP ACCESS RD,INT
2964,COOPER/WILLANDRA,INT
2712,CORDITE/AMRL/WATERFORD GRN EST ENTRANCE,INT
931,CORRIGAN NR COLLEGE,POS
925,CORRIGAN/ATHOL,INT
942,CORRIGAN/KINGSCLERE,INT
927,CORRIGAN/LIGHTWOOD,INT
933,CORRIGAN/NOBLE,INT
4326,COTHAM NR BRADFORD,POS
4325,COTHAM NR FLORENCE,POS
4337,COTHAM NR HIGH,POS
4332,COTHAM NR JOHN,POS
4333,COTHAM NR MARSHALL,POS
4323,COTHAM/CHARLES,INT
4324,COTHAM/GLENFERRIE,INT
5251,COTTRELL ST (EAST)/MARKET,INT
5024,COX NR NEVADA,POS
2815,CRAIGIEBURN BYPASS/COOPER,INT
2815,CRAIGIEBURN BYPASS/COOPER,INT
2815,CRAIGIEBURN BYPASS/COOPER,INT
2815,CRAIGIEBURN BYPASS/COOPER,INT
2819,CRAIGIEBURN BYPASS/CRAIGIEBURN RD EAST,INT
2164,CRAIGIEBURN ROAD WEST NR BENSTON,POS
2834,CRAIGIEBURN/BRIDGEWATER,INT
3871,CRAMER NR JESSIE,POS
746,CRANBOURNE NR WATTLETREE,POS
1145,CRANBOURNE/CLARENDON,INT
272,CRANBOURNE/FLETCHER/FIRE STN,INT
276,CRANBOURNE/KARINGAL,INT
747,CRANBOURNE/KARINGAL HUB ENT,INT
271,CRANBOURNE/LEE,INT
744,CRANBOURNE/MCCLELLAND,INT
731,CRANBOURNE/MCMAHONS/FRANKSTON FWY,INT
1091,CRANBOURNE/PEN.POWER CENTRE ACCESS,INT
750,CRANBOURNE/PLAYNE,INT
302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT
255,CRANBOURNE-FRANK/WARRANDYTE,INT
259,CRANBOURNE-FRANKSTON NR JOSEPHINE,POS
1056,CRANBOURNE-FRANKSTON/AMSTEL GC,INT
1261,CRANBOURNE-FRANKSTON/CENTRE/POTTS,INT
1077,CRANBOURNE-FRANKSTON/FAIRBAIRN,INT
570,CRANBOURNE-FRANKSTON/HALL,INT
261,CRANBOURNE-FRANKSTON/LONG ST,INT
1260,CRANBOURNE-FRANKSTON/NORTHGATEWAY/QUARRY,INT
1078,CRANBOURNE-FRANKSTON/SCOTT,INT
505,CRANBOURNE-FRANKSTON/SLADEN/MONAHANS,INT
514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT
1116,CRANBOURNE-FRANKSTON/WESTERN PORT,RBT MTR
627,CROYDON NR SURREY,POS
887,CROYDON/LINCOLN (see site no. 137),INT
4127,CUMBERLAND NR OLIVE,POS
4491,CURZON/HAINES,INT
2792,DALTON NR DAVID,POS
2698,DALTON NR GUILA,POS
2768,DALTON/DAREBIN/ALEXANDER,INT
4994,DALTON/THE BOULEVARD,INT
5839,DANA/ARMSTRONG,INT
1119,DANDENDONG SOUTH BYPASS/CHANDLER,INT
1120,DANDENONG SOUTHERN BYPASS/HAMMOND,INT
1118,DANDENONG SOUTHERN BYPASS/PERRY,INT
1121,DANDENONG STH BYPASS/DAND_FRANSTON,INT
1122,DANDENONG STH BYPASS/STH GIPPSLAND HWY,INT
621,DANDENONG VALLEY/MONTEREY/ELLIOTT,INT
1079,DANDENONG-FRANKSTON NR KLAUER,BUS SIG
515,DANDENONG-FRANKSTON RD NR WILLOW,POS
702,DANDENONG-FRANKSTON/EXCELSIOR,INT
541,DANDENONG-FRANKSTON/QUALITY/COJO,INT
3172,DANDENONG-HASTINGS/THOMPSONS,RBT MTR
4652,DAREBIN NR ARTHUR,POS
4666,DAREBIN NR SPARKS,POS
4663,DAREBIN NR WALES,POS
3267,DAREBIN/STATION,INT
4664,DAREBIN/VICTORIA,INT
745,DAVEY/BAXTER/HASTINGS,INT
728,DAVEY/YOUNG,INT
528,DAVEY-HASTINGS NR FRANKSTON HOSP ENT,POS
1162,DAVID MUNROE DR/STAINSBY CR,INT
2775,DAVISSON NR WEDGE,POS
3788,DAWSON NR DALY,POS
3786,DAWSON NR FALLON,POS
3795,DAWSON WEST OF SAXON,POS
4016,DAWSON/GRANTHAM,INT
3027,DENDY/ESPLANADE,INT
3957,DENDY/HAMPTON,INT
1190,DENMARK/STEVENSON,INT
3663,DENMARK/WELLINGTON,INT
4135,DERBY NR KENT,POS
5000,DERRIMUT/BAGGOTT,INT
5254,DERRIMUT/HEATHS,INT
5313,DERRIMUT/HOGANS,POS
5235,DERRIMUT/LEAKES,INT
3767,DERRIMUT/POPLAR/BADEN POWELL,INT
5262,DERRIMUT/RAILWAY AVE,INT
5281,DERRIMUT/VIRGILIA/SYCAMORE,INT
5281,DERRIMUT/VIRGILIA/SYCAMORE,INT
5246,DERRIMUT/WARRINGA,INT
5265,DERRIMUT/WILLMOTT,INT
5604,DESAILLY NR CUNNINGHAME,FLASH PX
2711,DEVONSHIRE / WITHERS,INT
2709,DEVONSHIRE/CORNWALL,INT
4947,DEVONSHIRE/DUKE,INT
4946,DEVONSHIRE/HAMPSHIRE,INT
2643,DEVONSHIRE/HARVESTER RD,INT
4167,DIAMOND CREEK NR SUNRISE,POS
2816,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,RBT MTR
3339,DIAMOND CREEK/PLENTY RIVER,INT
3349,DIAMOND CREEK/ST HELENA,INT
4176,DIAMOND CREEK/YAN YEAN/AQUEDUCT,INT
4926,DICKSON NR CLARKE (HAMPSHIRE RD),POS
3672,DIMBOOLA/MAIN,INT
3995,DIMBOOLA/PEARCEDALE,INT
3967,DOCKLANDS/DOEPEL/WATERFRONT,INT
4163,DOCKLANDS/PEARL RIVER ROAD,INT
1069,DOCKLANDS/SAINT MANGOS,INT
4436,DOCKLANDS/WESTERN LINK NB ON & OFF RAMP,INT
3479,DOHERTYS NR WESTGATE,POS
5294,DOHERTYS/FEDERATION TRAIL,POS
5266,DOHERTYS/HUME,INT
3473,DOHERTYS/JESSICA,INT
4547,DOMAIN NR DOMAIN ST,POS
4546,DOMAIN NR ST KILDA RD,POS
4548,DOMAIN/PARK/BIRDWOOD,INT
2182,DONALD CAMERON/LINCOLN/THOMAS BRUNTON,INT
344,DONCASTER EAST NR MITCHAM,POS
4053,DONCASTER NR BUCHANAN,POS
2041,DONCASTER NR CENTREWAY,POS
323,DONCASTER NR HENDER,POS
332,DONCASTER NR LEEDS,POS
4052,DONCASTER NR MARWAL,POS
3181,DONCASTER NR SYLVANDER,POS
3827,DONCASTER NR VIEWHILL,POS
3180,DONCASTER/BALWYN,INT
335,DONCASTER/BLACKBURN,INT
4051,DONCASTER/BULLEEN/SEVERN,INT
329,DONCASTER/CHURCH,INT
327,DONCASTER/COUNCIL,INT
334,DONCASTER/DONCASTER BUS DEPOT,INT
333,DONCASTER/DRYDEN,INT
324,DONCASTER/ELGAR  (SLAVED 325),INT
326,DONCASTER/FREDERICK/SHOPPING,INT
2829,DONCASTER/GREYTHORN,INT
2830,DONCASTER/HIGH,INT
331,DONCASTER/JACKSON CRT,INT
338,DONCASTER/MITCHAM/OLD W'DYTE,INT
325,DONCASTER/TRAM/WILLIAMSONS,INT
337,DONCASTER/TUNSTALL,INT
330,DONCASTER/WETHERBY/VICTORIA,INT
2043,DONCASTER/WHITTENS,INT
2193,DONNYBROOK/HUME FWY NB RAMPS,INT
3418,DORCAS NR ST LUKE,FLASH PX
4899,DORCAS/FERRARS,INT
4898,DORCAS/MONTAGUE,INT
4915,DORCAS/PICKLES/INGLES,INT
630,DORSET NR DUMOSA,POS
770,DORSET NR ELSIE,POS
807,DORSET RD / FRANCIS CR,INT
772,DORSET RD NR ALMA RD,POS
771,DORSET RD NR CHANDLER,POS
806,DORSET RD/LANDSCAPE DRV,INT
797,DORSET ROAD NR WES CRES,POS
374,DORSET/BORONIA,INT
631,DORSET/CANTERBURY,INT
767,DORSET/CHANDLER,INT
1123,DORSET/CLIPSAL,INT
623,DORSET/EASTFIELD,INT
1139,DORSET/GOLF LINKS/THE RANGE BVD,INT
628,DORSET/HULL/HEWISH,INT
641,DORSET/LINCOLN (NORTH),INT
633,DORSET/LINCOLN (SOUTH),INT
629,DORSET/MT DANDENONG,INT
945,DOUGLAS NR BUCKLEY,FLASH PX
946,DOUGLAS NR FRANK,FLASH PX
928,DOUGLAS NR LEONARD,POS
4968,DOUGLAS NR STEVEDORE,FLASH PX
3210,DOUGLAS/NORTH,INT
5827,DOVETON BTW NORMAN & LANSBOROUGH,POS
2516,DROOP NR FOOTSCRAY FIRE ST,FIRE W/W
2515,DROOP/DONALD,INT
6615,DROUIN-WARRAGUL NR LATROBE,POS
5166,DROUIN-WARRAGUL/DROUIN-KORUMBURRA,FLASH PX
5826,DRUMMOND NR MAIR,POS
2937,DRYBURGH/QUEENSBERRY,INT
4518,DRYBURGH/SPENCER/MILLER,INT
5165,DRYSDALE-ST LEONARDS RD NTH OF BLANCHE,FLASH PX
1112,DSB/EASTLINK,INT
918,DUBLIN NR RAILWAY,POS
916,DUBLIN/ALEXANDRA,INT
1063,DUDLEY NR WILLIAM,POS
4522,DUDLEY/ADDERLEY,INT
2677,DUKE/SURREY,INT
5242,DUNCANS/COLLEGE,INT
5291,DUNCANS/FEDERATION TRAIL,POS
5253,DUNCANS/SYNNOT,INT
5001,DUNCANS/WATTON,INT
2044,DUNLOP NEAR FRANCIS,POS
5234,DUNNINGS/BOARDWALK,INT
811,DURHAM NR ANITA,POS
3955,DURRANT NR MALE,POS
3405,DYNON/DOCK LINK,INT
4482,DYNON/KENSINGTON,INT
4483,DYNON/LLOYD,INT
4622,EAST BOUNDARY NR JULIANA,POS
4623,EAST BOUNDARY NR MARGARETTA,POS
1209,EAST BOUNDARY RD/ARDENA CRT,INT
2667,EAST ESPLANADE NR POWER,FLASH PX
3726,EAST RING RD STH OF NTH RING MONASH UNI,POS
3080,EAST ST NR MIDDLE ST (FITZROY ST),POS
550,EASTBOURNE NR THE VILLAGE GLEN,POS
998,EASTBOURNE NR WHITEHEAD,POS
524,EASTBOURNE RD btw SPRAY St & Nineth Av,POS
5042,EASTERN BEACH/BELLARINE/BROUGHAM,INT
3380,EASTERN FWY OFF RAMP/HODDLE,INT
3378,EASTERN FWY ON NR HODDLE         DD 3380,POS
3378,EASTERN FWY ON NR HODDLE         DD 3380,POS
709,EASTERN FWY RAMP/THOMPSONS,INT
575,EASTERN FWY/BLACKBURN,INT
575,EASTERN FWY/BLACKBURN,INT
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT
2833,EASTERN FWY/BURKE,RAMP MTR
2828,EASTERN FWY/DONCASTER,INT
2828,EASTERN FWY/DONCASTER,INT
2899,EASTERN FWY/DONCASTER RAMP I/B,RAMP MTR
3918,EASTERN FWY/ELGAR,INT
3918,EASTERN FWY/ELGAR,INT
574,EASTERN FWY/MIDDLEBOROUGH,INT
574,EASTERN FWY/MIDDLEBOROUGH,INT
576,EASTERN FWY/SPRINGVALE,INT
576,EASTERN FWY/SPRINGVALE,INT
1900,EASTERN FWY/THOMPSONS ON RAMP OB,RAMP MTR
3919,EASTERN FWY/TRAM,INT
3919,EASTERN FWY/TRAM,INT
2105,EASTERN HWY NR GOLD,POS
2102,EASTERN HWY NR NAPIER,POS
2106,EASTERN HWY/BRUNSWICK,INT
2108,EASTERN HWY/GEORGE,INT
2108,EASTERN HWY/GEORGE,INT
2101,EASTERN HWY/QUEENS/BRUNSWICK,INT
2103,EASTERN HWY/SMITH,INT
2103,EASTERN HWY/SMITH,INT
2104,EASTERN HWY/WELLINGTON,INT
2104,EASTERN HWY/WELLINGTON,INT
2110,EASTERN NR GOLD (WEST BOUND),POS
2109,EASTERN NR YOUNG (WEST BOUND),POS
2832,EASTERN/BULLEEN OFF RAMP         DD 2827,INT
2831,EASTERN/BURKE OFF RAMP           DD 2825,INT
2825,EASTERN/BURKE ON RAMP,INT
2100,EASTERN/NICHOLSON/PRINCES,INT
1103,EASTLINK/BURWOOD HWY INTERCHANGE,INT
1103,EASTLINK/BURWOOD HWY INTERCHANGE,INT
1102,EASTLINK/CANTERBURY INTERCHANGE,INT
1102,EASTLINK/CANTERBURY INTERCHANGE,INT
1111,EASTLINK/CHELTENHAM INTERCHANGE,INT
1111,EASTLINK/CHELTENHAM INTERCHANGE,INT
1107,EASTLINK/FERNTREE GULLY INTERCHANGE,INT
1107,EASTLINK/FERNTREE GULLY INTERCHANGE,INT
1105,EASTLINK/HIGH STREET ROAD INTERCHANGE,INT
1105,EASTLINK/HIGH STREET ROAD INTERCHANGE,INT
1109,EASTLINK/POLICE INTERCHANGE,INT
1109,EASTLINK/POLICE INTERCHANGE,INT
5818,EASTWOOD NR ANDERSON,FLASH PX
6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX
6341,ECHUCA-MOOROOPNA NR BAKER,POS
6335,ECHUCA-MOOROOPNA NR HIGH SCHL,POS
3975,EDGARS RD / KINGSWAY DR,INT
3982,EDGARS/BARRY,INT
2788,EDGARS/COMALCO ACCESS,INT
4990,EDGARS/MAIN,INT
2766,EDGARS/VICTORIA,INT
284,EDITHVALE NR KINROSS       BICYCLE TRACK,POS
155,EDWARD RD/VIEWPOINT DR,INT
4797,EDWARDES NR COMPTON,POS
3882,EDWARDES NR OLIVE,POS
3881,EDWARDES NR SPRATLING,POS
3874,EDWARDES/BANBURY,INT
3875,EDWARDES/NEWLANDS,INT
2590,ELEANOR NR STANLAKE,FLASH PX
3923,ELGAR NR ERASMUS,POS
3921,ELGAR NR LORAINE,POS
2219,ELGAR NR MAROONDAH,POS
3934,ELGAR NR SEVERN,POS
3943,ELGAR/ARNOLD,INT
3920,ELGAR/BELMORE,INT
3940,ELGAR/CARRINGTON,INT
3922,ELGAR/MONT ALBERT,INT
3916,ELGAR/UGANDA,INT
3417,ELGIN NR DRUMMOND,POS
6401,ELIZABETH NR AMOS,FLASH PX
4133,ELIZABETH NR MURPHY,POS
1060,ELIZABETH NR PELHAM,FLASH PX
4823,ELIZABETH NR WILLIAMS,POS
4512,ELIZABETH/A'BECKETT ST,INT
4597,ELIZABETH/BOURKE ST,INT
4580,ELIZABETH/COLLINS,INT
4571,ELIZABETH/FLINDERS LANE,INT
4563,ELIZABETH/FLINDERS ST,INT
4511,ELIZABETH/FRANKLIN ST,INT
2922,ELIZABETH/LATROBE ST,INT
4822,ELIZABETH/LENNOX,INT
4606,ELIZABETH/LITTLE BOURKE ST,INT
4589,ELIZABETH/LITTLE COLLINS ST,INT
2914,ELIZABETH/LITTLE LONSDALE ST,INT
2906,ELIZABETH/LONSDALE,INT
1061,ELIZABETH/PEEL/FLEM/BEDFORD,INT
4387,ELIZABETH/QUEENSBERRY ST,INT
4510,ELIZABETH/THERRY ST,INT
4388,ELIZABETH/VICTORIA ST,INT
4467,ELLIOT/TRAMWAY CROSSING,INT
4477,ELLIOTT/BRENS,INT
953,ELONERA NR TITCHER,POS
2566,EPPING NR TAGGERTY,POS
2692,EPPING/HAYSTON/LYNDARUM,INT
2524,EPSOM NR BANGALORE,POS
4207,EPSOM NR DONCASTER,POS
1014,EPSOM NR ROSEBERRY,POS
1166,EPSOM ROAD/SHOPPING CENTRE ACCESS,INT
