Site_Number,Location_Description,Site_Type
4299,BANKSIA/WATERDALE,INT
3338,BANYULE NR BEVERLEY,POS
3000,BARKERS NR FINDON,POS
3005,BARKERS NR KILDARE,POS
3004,BARKERS/AUBURN/WRIXON,INT
3001,BARKERS/CHURCH/HIGH,INT
3002,BARKERS/DENMARK/POWER,INT
3003,BARKERS/GLENFERRIE,INT
3434,BARKLY NR ALBERT,POS
4253,BARKLY NR ARGYLE,POS
4259,BARKLY NR CLARKE,POS
2999,BARKLY NR SHELLEY,POS
4246,BARKLY NR VICTORIA,POS
5841,BARKLY NR VINCENT,POS
4248,BARKLY NR WARLEIGH,INT
336,BARKLY ST / RAILWAY GVE / RING RD,INT
3427,BARKLY/ACLAND/MITFORD,INT
3424,BARKLY/ALMA/PRINCES,INT
3426,BARKLY/CARLISLE,INT
4238,BARKLY/DROOP/HOPKINS/NICHOLS,INT
4240,BARKLY/GORDON,INT
3425,BARKLY/GREY/INKERMAN,INT
1183,BARKLY/SUMMERHILL,INT
5840,BARKLY/VINCENT,INT
6231,BARNARD NR WATERLOO,POS
6280,BARNARD/LUCAN/ARNOLD,INT
6262,BARNARD/VIEW,INT
5114,BARRABOOL RD / BELLEVUE AVE,INT
3983,BARRY NR DUNSTAN,POS
3980,BARRY/BLAIR,INT
3996,BARRY/FORD ENTRANCE,INT
3981,BARRY/KING/MAFFRA,INT
3613,BARRY/KYABRAM,INT
3611,BARRY/LONGFORD,INT
2852,BARRYMORE NR ELGIN,POS
5227,BARWON HEADS/BREAKWATER,INT
5187,BARWON/SWANSTON,INT
6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER,INT
6677,BASS HWY/STANLEY,INT
4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS
4528,BATMAN/MELB PARK NTH ACCESS,INT
973,BAXTER-TOORADIN NR PERYMAN,POS
1140,BAXTER-TOORADIN/FULTONS/HAWKINS,RBT MTR
2318,BAY NR JACK,POS
4863,BAY NR LANSELL,POS
2663,BAY NR LIARDET,POS
4724,BAY NR POOL,FLASH PX
4862,BAY NR STATION,POS
3954,BAY NR WILLANSBY,POS
1364,BAY RD NR FERNHILL RD,POS
2293,BAY STREET/ROUSE ST,INT
4723,BAY/BEACH,INT
3032,BAY/BEACH,INT
3102,BAY/BLUFF,INT
4721,BAY/BRIDGE,INT
2341,BAY/CHELTENHAM MARKET,INT
4722,BAY/GRAHAM,INT
3951,BAY/NEW/BARKLY,INT
4864,BAY/RESERVE,INT
625,BAYSWATER NR BELMONT,POS
889,BAYSWATER NR GLEN PARK,POS
624,BAYSWATER/CENTRAL,INT
626,BAYSWATER/EASTFIELD,INT
3714,BEACH NR ANTIBES,POS
4868,BEACH NR BALCOMBE,POS
3043,BEACH NR BAY & HIGH,POS
3033,BEACH NR BAYVIEW,POS
3037,BEACH NR BLUFF,POS
3543,BEACH NR CANBERRA,POS
3708,BEACH NR DIXON,POS
3040,BEACH NR HERBERT,POS
4869,BEACH NR MASEFIELD,POS
3031,BEACH NR MELROSE,POS
3035,BEACH NR NAPLES,POS
3709,BEACH NR NEPEAN,POS
3104,BEACH NR ORLANDO,POS
3039,BEACH NR PRINCES,FLASH PX
3087,BEACH NR RESERVE,POS
3029,BEACH NR SMALL,POS
3034,BEACH NR TRAMWAY PDE,POS
3093,"BEACH RD - NEW ST, BAYSIDE",POS
3036,BEACH/CENTREWAY,INT
3030,BEACH/HAMPTON/BRIDGE,INT
751,BEACH/MCMAHONS,INT
751,BEACH/MCMAHONS,INT
730,BEACH/YOUNG/DANDENONG,INT
3538,BEACONSFIELD NR HAROLD,POS
3539,BEACONSFIELD NR LANGRIDGE,POS
3014,BEACONSFIELD NR MCGREGOR,POS
3038,BEACONSFIELD NR MILLS,POS
3011,BEACONSFIELD NR VICTORIA,POS
4836,BEACONSFIELD/ACLAND/JACKA,INT
3010,BEACONSFIELD/BEACH/PICKLES,INT
2311,BEACONSFIELD/COWDEROY,INT
2311,BEACONSFIELD/COWDEROY,INT
3012,BEACONSFIELD/KERFORD,INT
513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT
904,BEDFORD NR LENA,POS
905,BEDFORD NR TAGGELL,POS
914,BEDFORD/DUBLIN,INT
897,BEDFORD/WARRANDYTE,INT
6158,BEECHWORTH NR NILMAR,POS
6158,BEECHWORTH NR NILMAR,POS
184,BELGRAVE-GEM NR EMERALD RES,FLASH PX
521,BELGRAVE-HALLAM/FRAWLEY,INT
534,BELGRAVE-HALLAM/YOUNG (CFA),FIRE SIG
3075,BELL NR ALICE,POS
3083,BELL NR GILMOUR (UPFIELD RAILWAY),POS
152,BELL NR HERBERT  (YARRA GLEN),POS
3057,BELL NR JESSIE,POS
2946,BELL NR ORIEL & PLUNKETT,POS
3064,BELL/ALBERT,INT
3042,BELL/ALVA,INT
3089,BELL/BREARLEY RESERVE(NTH SEWER PROJECT),INT
3069,BELL/BURGUNDY/UPR HEIDELBERG,INT
3065,BELL/CHIFLEY,INT
3050,BELL/CUMBERLAND,INT
3068,BELL/EDWIN,INT
3048,BELL/ELIZABETH,INT
3055,BELL/ELM,INT
3058,BELL/GILBERT,INT
3060,BELL/HIGH,INT
3076,BELL/HUDSON/MAIN,INT
3052,BELL/MELVILLE/TURNER,INT
3056,BELL/NICHOLSON/ELIZABETH,INT
3066,BELL/ORIEL NTH,INT
3077,BELL/ORIEL STH,INT
3061,BELL/PLENTY,INT
3051,BELL/REYNOLDS,INT
3059,BELL/ST GEORGES,INT
3053,BELL/SUSSEX,INT
3091,BELL/THE BELL CENTRE ACCESS,INT
3041,BELL/TURNER,INT
3063,BELL/VICTORIA,INT
3067,BELL/WATERDALE,INT
5120,"Bellarine Hwy nr Murray Rd, Pt. Lonsdale",POS
5140,BELLARINE HWY NR PT LONSDALE,POS
5192,BELLARINE HWY(Ormond Rd)/HUMBLE ST,INT
5192,BELLARINE HWY(Ormond Rd)/HUMBLE ST,INT
5212,BELLARINE HWY/ASH/SIMONS,INT
5209,BELLARINE HWY/BOUNDARY/ORMOND,INT
5209,BELLARINE HWY/BOUNDARY/ORMOND,INT
5194,BELLARINE HWY/CHRISTIES RD/CLAREMONT DR,INT
5194,BELLARINE HWY/CHRISTIES RD/CLAREMONT DR,INT
5208,BELLARINE HWY/COPPARDS,INT
5193,BELLARINE HWY/KENSINGTON,INT
5193,BELLARINE HWY/KENSINGTON,INT
5191,BELLARINE HWY/MELALUKA,INT
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD,POS
5167,BELLARINE HWY/RAIL TRAIL NR EARLS RD,POS
5190,BELLARINE HWY/WALLINGTON-OCEAN GROVE RD,INT
5190,BELLARINE HWY/WALLINGTON-OCEAN GROVE RD,INT
5210,BELLARINE HWY/WILSONS,INT
5210,BELLARINE HWY/WILSONS,INT
5218,BELLARINE NR NELSON,POS
5218,BELLARINE NR NELSON,POS
5215,BELLARINE/MOOLAP STATION,INT
5215,BELLARINE/MOOLAP STATION,INT
6102,BELMORE BTW ORR & PIPER,POS
4058,BELMORE NR ALANDALE,POS
4056,BELMORE NR BUCHANAN,POS
3932,BELMORE NR McCOLL,POS
3800,BELMORE NR UNION,POS
4059,BELMORE/GREYTHORN,INT
6282,BENDIGO-REDESDALE NR MOLLISON,FLASH PX
645,BENNET/JONES/RAILWAY,INT
2027,BENTONS NEAR DUNNS,FLASH PX
3936,BERESFORD NR EARLE,POS
2668,BERKSHIRE/BUNNETT,INT
4629,BERNARD NR CAVANAGH,POS
4628,BERNARD NR WINGROVE,POS
1082,BERWICK_BEACONSFIELD NR GLOUCESTER,FLASH PX
1023,BERWICK-BEACONSFIELD/GOFF,POS
503,BERWICK-CRANBOURNE (CLYDE)/KANGAN,INT
399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT
3177,BERWICK-CRANBOURNE/GLASSCOCKS/GRICES,INT
355,BLACKBURN NR BINDY,POS
342,BLACKBURN NR CANOPUS,POS
350,BLACKBURN NR CASSOWARY,POS
362,BLACKBURN NR CHERRY,POS
357,BLACKBURN NR HAWTHORN,POS
544,BLACKBURN NR MATTHEW,POS
352,BLACKBURN NR MONTGOMERY,POS
453,BLACKBURN NR TAMBO,POS
708,BLACKBURN/ANDERSON CREEK,INT
353,BLACKBURN/CENTREWAY,INT
359,BLACKBURN/COLEMAN,INT
363,BLACKBURN/DUERDIN,INT
351,BLACKBURN/GEORGE,INT
358,BLACKBURN/HIGH ST RD,INT
340,BLACKBURN/KING,INT
4717,BLACKBURN/NORMANBY,INT
321,BLACKBURN/RAILWAY,INT
698,BLACKBURN/REYNOLDS,INT
354,BLACKBURN/SOUTH PDE,INT
571,BLACKBURN/THE PINES SHOPPING ACCESS,INT
360,BLACKBURN/WAVERLEY,INT
3722,BLACKBURN/WELLINGTON,INT
3902,BLACKSHAWS NR BEGONIA,FLASH PX
3508,BLACKSHAWS/CHAMBERS,INT
3905,BLACKSHAWS/GRIEVE,INT
3499,BLACKSHAWS/MILLS/KYLE,INT
3991,BLAIR NR KIEWA,POS
3990,BLAIR NR KING WILLIAM,POS
3092,BLUFF BETWEEN BALCOMBE AND KARRAKATTA,POS
3106,BLUFF NR ABBOTT,POS
3100,BLUFF NR APEX,POS
3103,BLUFF NR ARKARINGA,POS
3636,BLUFF NR HOLLOWAY,POS
3101,BLUFF/HIGHETT,INT
3099,BLUFF/LUDSTONE STREET,INT
3779,BLYTH NR EDMENDS  (FIRE STATION),FIRE W/W
3766,BOARDWALK/MAIN,INT
3765,BOARDWALK/MURNONG,INT
5214,BOARDWALK/TOM ROBERTS,INT
4795,BOLDREWOOD NR GENOA,POS
1167,BOLTON ST NR WITHERS ST,POS
985,BONEO NR CAIN,POS
988,BONEO/BUNNINGS ACCESS,INT
554,BONEO/MCCOMBE,INT
2569,BOORAN NR MARARA,POS
2755,BOORAN NR MIRIAM,POS
4082,BOORAN/NEERIM,INT
1144,BORONIA NR AMESBURY & ROXBURGH,POS
370,BORONIA NR DINSDALE,POS
366,BORONIA NR LUSK,POS
372,BORONIA NR ROSE,POS
373,BORONIA NR TORMORE,POS
388,BORONIA/CFA FIRE STATION,FIRE SIG
1104,BORONIA/EASTLINK,INT
1104,BORONIA/EASTLINK,INT
375,BORONIA/ERICA,INT
376,BORONIA/FLORISTON/HASTINGS,INT
371,BORONIA/SCORESBY,INT
369,BORONIA/STUD,INT
367,BORONIA/WANTIRNA,INT
4638,BOUNDARY NR LOWER DANDENONG,POS
2652,BOUNDARY RD / EAST OF MT DERRIMUT RD,INT
3993,BOUNDARY/CUMBERLAND,INT
2689,BOUNDARY/FAIRBAIRN/LITTLE BOUNDARY,FIRE SIG
3715,BOUNDARY/GOVERNOR  (ROUNDABOUT),RBT MTR
5280,BOUNDARY/HUME,INT
5290,BOUNDARY/LOT E ACCESS,INT
4490,BOUNDARY/MACAULAY,INT
4647,BOUNDARY/MALCOLM/WHITE,INT
3203,BOUNDARY/OLD DANDENONG,INT
2176,BOUNDARY/PASCOE/WEST,INT
2647,BOUNDARY/PLUMMER/INDUSTRIAL DR,INT
4111,BOUNDARY/SUSSEX,INT
5263,BOUNDARY/WILLIAM ANGLISS DR/MARWEN DR,INT
4598,BOURKE NR HARDWARE,POS
1319,BOURKE STREET NR SPRING STREET,FLASH PX
1318,BOURKE STREET NR SPRING STREET,FLASH PX
2951,BOURKE/AURORA,INT
4636,BOURKE/CLAYTON/OSBORNE,INT
4594,BOURKE/EXHIBITION,INT
4398,BOUVERIE/QUEENSBERRY,INT
672,BRADY NR SHALIMAR,FLASH PX
6620,BRANDY CREEK RD (VICTORIA ST)/ALBERT RD,INT
6620,BRANDY CREEK RD (VICTORIA ST)/ALBERT RD,INT
6619,BRANDY CREEK(VICTORIA ST)NR SMITH,POS
4442,BRAY NR GREY,FLASH PX
5229,BREAKWATER/TUCKER/CURRIER,INT
809,BRICE NR GEORGE & BATHURST,POS
810,BRICE NR STATION,POS
4802,BRIDGE NR RICHMOND TOWN HALL,POS
6021,BRIDGE NR SALISBURY             BENALLA,POS
3868,BRIDGE NR VERITY,POS
4806,BRIDGE NR YARRA BOULEVARD,POS
4805,BRIDGE/BURNLEY,INT
4801,BRIDGE/CHURCH,INT
4803,BRIDGE/COPPIN,INT
4800,BRIDGE/LENNOX,INT
4877,BRIDGE/LIGHT RAIL XING,INT
990,BRIDGE/SILVER,INT
2295,BRIDPORT NR MONTAGUE,POS
4875,BRIDPORT/LIGHT RAIL XING,INT
2171,BROADMEADOWS DEV/NTH CIRCULAR,INT
3999,BROADMEADOWS/SHARPS/BARRIE,INT
3216,BROADWAY NR MARCHANT,POS
6100,BROADWAY NR O'DWYER,POS
1231,BROADWAY NTH OF GLENHUNTLY RD,FLASH PX
5046,Bromfield St Nr Gelibrand Street,FLASH PX
5112,BROUGHAM / GHERINGHAP,INT
5070,BROUGHAM/MOORABOOL,INT
5049,BROUGHAM/YARRA,INT
4219,BRUNSWICK NR CHURCH,POS
3793,BRUNSWICK NR EWING,POS
4221,BRUNSWICK NR HANOVER,POS
4217,BRUNSWICK NR LEICESTER,POS
4220,BRUNSWICK NR PALMER,POS
3114,BRUNSWICK NR RATHDOWNE,POS
3109,BRUNSWICK NR WATSON,POS
3110,BRUNSWICK/FLEMING,INT
4216,BRUNSWICK/GERTRUDE,INT
3118,BRUNSWICK/GIBSON,INT
3111,BRUNSWICK/GRANTHAM,INT
3451,BRUNSWICK/JOHNSTON,INT
3113,BRUNSWICK/LYGON,INT
3115,BRUNSWICK/NICHOLSON/HOLDEN,INT
3791,BRUNSWICK/STRANGER,INT
3834,BUCKLEY (STH) NR LESLIE,INT
4239,BUCKLEY NR ARRAN,POS
3044,BUCKLEY NR BATMAN,POS
4242,BUCKLEY NR CUTHBERT,POS
4197,BUCKLEY NR McCRACKEN,POS
